Index,Leg Distance,Elevation,Leg Course,lat,lon,year
1,1.0 km,0 m,334° true,49.95355,-122.99232,1928
2,610 m,0 m,223° true,49.9617,-122.99848,1928
3,454 m,0 m,236° true,49.95772,-123.00434,1928
4,102 m,0 m,278° true,49.95542,-123.00957,1928
5,157 m,0 m,232° true,49.95555,-123.01098,1928
6,313 m,0 m,242° true,49.95468,-123.01271,1928
7,148 m,0 m,338° true,49.95335,-123.01657,1928
8,292 m,0 m,354° true,49.95458,-123.01734,1928
9,322 m,0 m,227° true,49.95719,-123.01775,1928
10,480 m,0 m,274° true,49.95522,-123.02104,1928
11,93 m,0 m,34° true,49.95548,-123.02772,1928
12,93 m,0 m,34° true,49.95617,-123.02699,1928
13,412 m,0 m,29° true,49.95687,-123.02626,1928
14,106 m,0 m,119° true,49.9601,-123.02346,1928
15,144 m,0 m,9° true,49.95963,-123.02217,1928
16,207 m,0 m,120° true,49.96091,-123.02186,1928
17,686 m,0 m,13° true,49.95998,-123.01936,1928
18,157 m,0 m,297° true,49.96597,-123.01717,1928
19,359 m,0 m,10° true,49.96662,-123.01913,1928
20,331 m,0 m,111° true,49.96979,-123.01824,1928
21,199 m,0 m,93° true,49.96872,-123.01393,1928
22,253 m,0 m,45° true,49.96862,-123.01115,1928
23,221 m,0 m,79° true,49.97023,-123.00865,1928
24,180 m,0 m,13° true,49.97062,-123.00562,1928
25,334 m,0 m,343° true,49.9722,-123.00505,1928
26,100 m,0 m,306° true,49.97507,-123.00644,1928
27,152 m,0 m,333° true,49.9756,-123.00757,1928
28,217 m,0 m,95° true,49.97681,-123.00853,1928
29,104 m,0 m,41° true,49.97663,-123.0055,1928
30,53 m,0 m,37° true,49.97734,-123.00455,1928
31,311 m,0 m,348° true,49.97772,-123.0041,1928
32,90 m,0 m,70° true,49.98045,-123.00503,1928
33,140 m,0 m,143° true,49.98073,-123.00384,1928
34,240 m,0 m,124° true,49.97973,-123.00267,1928
35,316 m,0 m,123° true,49.97852,-122.99988,1928
36,197 m,0 m,142° true,49.97697,-122.99619,1928
37,154 m,0 m,146° true,49.97558,-122.9945,1928
38,172 m,0 m,141° true,49.97443,-122.9933,1928
39,181 m,0 m,140° true,49.97323,-122.99179,1928
40,508 m,0 m,152° true,49.97198,-122.99015,1928
41,348 m,0 m,150° true,49.96795,-122.98684,1928
42,923 m,0 m,163° true,49.96523,-122.98442,1928
43,,0 m,,49.95732,-122.9806,1928
1,70 m,0 m,342° true,49.95688,-123.00647,1949
2,174 m,0 m,342° true,49.95748,-123.00677,1949
3,220 m,0 m,343° true,49.95897,-123.00753,1949
4,68 m,0 m,309° true,49.96085,-123.00845,1949
5,75 m,0 m,1° true,49.96123,-123.00919,1949
6,164 m,0 m,331° true,49.9619,-123.00917,1949
7,241 m,0 m,349° true,49.96319,-123.0103,1949
8,74 m,0 m,334° true,49.96531,-123.01095,1949
9,84 m,0 m,1° true,49.96591,-123.01141,1949
10,143 m,0 m,30° true,49.96667,-123.0114,1949
11,114 m,0 m,54° true,49.96778,-123.01039,1949
12,109 m,0 m,97° true,49.96838,-123.0091,1949
13,165 m,0 m,70° true,49.96826,-123.00759,1949
14,140 m,0 m,42° true,49.96876,-123.00543,1949
15,89 m,0 m,19° true,49.96969,-123.00411,1949
16,123 m,0 m,10° true,49.97045,-123.0037,1949
17,85 m,0 m,355° true,49.97154,-123.00341,1949
18,77 m,0 m,347° true,49.9723,-123.0035,1949
19,34 m,0 m,42° true,49.97298,-123.00374,1949
20,113 m,0 m,9° true,49.97321,-123.00342,1949
21,24 m,0 m,76° true,49.97421,-123.00318,1949
22,130 m,0 m,140° true,49.97426,-123.00285,1949
23,144 m,0 m,71° true,49.97336,-123.00169,1949
24,99 m,0 m,45° true,49.97379,-122.9998,1949
25,154 m,0 m,354° true,49.97442,-122.99883,1949
26,53 m,0 m,61° true,49.9758,-122.99905,1949
27,145 m,0 m,106° true,49.97604,-122.9984,1949
28,160 m,0 m,130° true,49.97567,-122.99645,1949
29,58 m,0 m,117° true,49.97475,-122.99473,1949
30,127 m,0 m,132° true,49.97452,-122.99401,1949
31,196 m,0 m,143° true,49.97375,-122.9927,1949
32,168 m,0 m,147° true,49.97235,-122.99104,1949
33,213 m,0 m,144° true,49.97108,-122.98977,1949
34,134 m,0 m,151° true,49.96954,-122.98801,1949
35,225 m,0 m,155° true,49.96848,-122.98711,1949
36,201 m,0 m,161° true,49.96664,-122.9858,1949
37,,0 m,,49.96493,-122.98489,1949
1,312 m,0 m,342° true,49.95689,-123.00636,1977
2,358 m,0 m,349° true,49.95955,-123.00771,1977
3,289 m,0 m,356° true,49.96271,-123.00867,1977
4,383 m,0 m,80° true,49.9653,-123.00898,1977
5,95 m,0 m,40° true,49.96588,-123.00371,1977
6,67 m,0 m,21° true,49.96653,-123.00286,1977
7,77 m,0 m,43° true,49.9671,-123.00252,1977
8,82 m,0 m,20° true,49.9676,-123.00179,1977
9,104 m,0 m,47° true,49.96829,-123.00141,1977
10,147 m,0 m,9° true,49.96893,-123.00034,1977
11,150 m,0 m,7° true,49.97024,-123.00004,1977
12,158 m,0 m,53° true,49.97157,-122.99977,1977
13,192 m,0 m,70° true,49.97244,-122.99802,1977
14,187 m,0 m,95° true,49.97302,-122.9955,1977
15,65 m,0 m,107° true,49.97289,-122.9929,1977
16,103 m,0 m,133° true,49.97272,-122.99204,1977
17,72 m,0 m,143° true,49.97209,-122.99098,1977
18,27 m,0 m,183° true,49.97157,-122.99037,1977
19,86 m,0 m,135° true,49.97133,-122.99039,1977
20,103 m,0 m,155° true,49.97079,-122.98954,1977
21,149 m,0 m,152° true,49.96995,-122.98894,1977
22,113 m,0 m,149° true,49.96877,-122.98795,1977
23,87 m,0 m,146° true,49.9679,-122.98712,1977
24,269 m,0 m,158° true,49.96726,-122.98644,1977
25,,0 m,,49.96502,-122.98501,1977
1,141 m,0 m,341° true,49.96902,-122.99542,2003
2,67 m,0 m,359° true,49.97021,-122.99606,2003
3,67 m,0 m,81° true,49.97082,-122.99608,2003
4,82 m,0 m,70° true,49.97092,-122.99516,2003
5,106 m,0 m,108° true,49.97117,-122.99409,2003
6,115 m,0 m,133° true,49.97089,-122.99268,2003
7,,0 m,,49.97018,-122.99151,2003
1,141 m,0 m,356° true,49.96595,-122.99306,2016
2,179 m,0 m,2° true,49.96721,-122.99319,2016
3,132 m,0 m,82° true,49.96881,-122.99309,2016
4,146 m,0 m,122° true,49.96899,-122.99126,2016
5,245 m,0 m,165° true,49.96829,-122.98954,2016
6,,0 m,,49.96617,-122.98864,2016